Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,"Shannon, Samantha",,"=""1408883457""","=""9781408883457""",2,Bloomsbury Publishing,ebook,848,2019,2019,2026/04/19,2026/03/21,,,read,"There’s so much going on that almost nothing really ends up happening. Characters jump around the world<br/>like they’re travelling just to the corner store. People SWIM across boats like it is nothing. Stuff appears out of nowhere and the plot builds itself on a flimsy structure.<br/>The last 15% were the worst as you can feel that there was a need to wrap up the story but seems like little thought was given to the end (dragons vs boats? a character swimming from one boat to another during a battle? characters teleporting? uber enemies dying like they were nothing to fuss about?)<br/>Not everything is bad, as the scenes are beautifully built, and the love story is appropriate, but there’s so much going on that seems badly glued on! I’m glad that I read the book as a ebook because if it was a physical copy (which is a behemoth) this would have probably been a DNF!<br/><br/>Pros:<br/>- at 1/2 of the book we get some backstory and lore of the world - this felt nice<br/>- good description of new places; while they don’t feel necessarily alive, you can tell how beautiful they all are<br/><br/>Cons:<br/>- the first 6 chapters are a bit of a mess for me; there are names, cultures, events, and more, thrown around that lack context - there’s so much room to explain stuff but that ends up not happening. I don’t feel like i should have to read 7+ chapters to understand the fundamental values of the a kingdom but that’s what happens<br/>- the way characters traverse the map makes it feel very tiny - maybe the fault is comparing this to TLoTR, but the journeys that characters take feel meaningless<br/>- i wish there was more lore along the book; there are a lot of names and stuff thrown at you but except for 2 moments, you learn very little about the world and its customs<br/>- i don’t get the point of Niclays Roos other than to be there to give exposition to stuff we wouldn’t know of otherwise<br/>- same way characters traverse the world and make it feel tiny, there are 2/3 instances where characters swim between boats or from/to beaches and they make it seem like that is nothing; it kinda ruins the immersion for me",,,1,0
20417,Have Space Suit—Will Travel,Robert A. Heinlein,"Heinlein, Robert A.",,"=""1416505490""","=""9781416505495""",4,Pocket Books,Paperback,276,2005,1958,2026/04/15,2026/04/03,,,read,"You can tell that Heinlein is a math guy by the amount of math in the book - and there’s a lot of it<br/><br/>Pros:<br/>- whimsical, with likeable characters<br/>- kip’s father deserves a book himself <br/><br/>Cons:<br/>- suffers from pacing problems - remember when i told Heinlein liked math? How about if there’s a big chunk just about how big a room is and how much water is needed, and at what speed, to fill it? Or how you can calculate the distance and angle of your moon stroll based on where earth is?",,,1,0
10644930,11/22/63,Stephen  King,"King, Stephen",,"=""1451627289""","=""9781451627282""",0,Scribner,Hardcover,849,2011,2011,,2026/04/08,to-read,to-read (#284),to-read,,,,0,0
383137,Misery (Penguin Readers),Robin Waterfield,"Waterfield, Robin",Stephen  King,"=""3526418292""","=""9783526418290""",0,"Langensch.-Hachette, M",Paperback,96,1999,,,2023/08/07,to-read,to-read (#77),to-read,,,,0,0
226460,The Simulacra,Philip K. Dick,"Dick, Philip K.",,"=""0375719261""","=""9780375719264""",0,Random House Vintage Books,Paperback,214,2002,1964,,2026/03/31,did-not-finish,did-not-finish (#1),did-not-finish,,,,1,0
195790861,Service Model,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1250290287""","=""9781250290281""",4,Tor Books,Hardcover,384,2024,2024,2026/03/29,2025/01/22,,,read,"Pros:<br/>- it reminded me of me trying to setup OpenClaw to run tasks for me and it failing at what was instructed because: a) the prompt wasn’t clear; b) the agent made assumptions; c) the agent said it did a thing but actually never did nor updated the systems regarding it; d) the instructions were dependent on prior instructions that couldn’t be ran due to a, b or c for themselves<br/>- characters felt charismatic<br/>- good character journey<br/><br/>Cons:<br/>- chapters leading to the end felt rushed<br/>- chapters about the soldiers and cannibals were kinda flat",,,1,0
56534999,"Slow Horses (Slough House, #1)",Mick Herron,"Herron, Mick",,"=""1641292970""","=""9781641292979""",3,Soho Crime,Paperback,400,2020,2010,2026/03/17,2026/03/08,,,read,Pros:<br/>- entertaining<br/>- characters felt distinct from each other<br/><br/>Cons:<br/>- everybody is extremely edgy and ballsy; i get it that they are people who were put in the backseat for the entirety of their careers and that they have nothing to lose but it felt like that was too much<br/>- the plot itself is okayish; people betray people and stuff happens to other people<br/>- i would have loved to understand a bit more of the world building and how the tests worked but little is said about it,,,1,0
231258916,"Evolution (The Exlian Syndrome Series, #4)",Seth Ring,"Ring, Seth",,"=""""","=""9798874692605""",3,"Blackstone Publishing, Inc.",Hardcover,351,2025,2025,2026/03/08,2026/02/10,,,read,"Pros:<br/>- entertaining<br/>- old characters were now back and part of the main character progression returned<br/><br/>Cons:<br/>- i don’t like farming scenes, and both this and the 2nd book had a lot of it… it even gets to a point where the MC thinks “hmm, i’ll need 100 of these to level up” and i was begging for it to be entirely narrated like we almost had on book 2; exlians just aren’t very entertaining characters in battles to have so many of them<br/>- the plot keeps thickening and i don’t know if that’s a good thing; there’s so many loose pieces that it feels like this will be a 20 book series and i don’t think i’m up for it",,,1,0
63106877,The Maiden,Kate   Foster,"Foster, Kate",,"=""""","=""""",3,Mantle,Hardcover,384,2023,2023,2026/03/08,2025/03/02,,,read,"Pros:<br/>- it’s entertaining<br/>- i guess it’s nice to learn a bit of history, even if the story itself is very vaguely inspired on a real event<br/>- i was not away of branks so i learned something new<br/><br/>Cons:<br/>- the book dragged for way too long; i don’t know how it’s so lengthy for the amount of stuff it provides<br/>- it’s impossible not to feel bad with the victims but i couldn’t connect or feel much for them",,,1,0
47212,"Storm Front (The Dresden Files, #1)",Jim  Butcher,"Butcher, Jim",,"=""0451457811""","=""9780451457813""",4,Penguin ROC,Mass Market Paperback,372,2000,2000,2026/03/01,2026/02/16,,,read,Pros:<br/>- entertaining<br/>- good world-building with good explanation of stuff<br/>- ample room to explore characters on other books<br/><br/>Cons:<br/>- maybe too silly at times - it’s hard to take the danger seriously when there’s always a joke to be made<br/>- some parts of the book were not very well edited - characters are sat on a chair and the next line says that they push a chair back and seat,,,1,0
