goodreads_id,title,author,isbn,isbn13,rating,status,date_read,date_added,favorite,review
195790861,Service Model,Adrian Tchaikovsky,1250290287,9781250290281,4,read,2026/03/29,2025/01/22,false,"Pros:<br/>- it reminded me of me trying to setup OpenClaw to run tasks for me and it failing at what was instructed because: a) the prompt wasn’t clear; b) the agent made assumptions; c) the agent said it did a thing but actually never did nor updated the systems regarding it; d) the instructions were dependent on prior instructions that couldn’t be ran due to a, b or c for themselves<br/>- characters felt charismatic<br/>- good character journey<br/><br/>Cons:<br/>- chapters leading to the end felt rushed<br/>- chapters about the soldiers and cannibals were kinda flat"
56534999,"Slow Horses (Slough House, #1)",Mick Herron,1641292970,9781641292979,3,read,2026/03/17,2026/03/08,false,Pros:<br/>- entertaining<br/>- characters felt distinct from each other<br/><br/>Cons:<br/>- everybody is extremely edgy and ballsy; i get it that they are people who were put in the backseat for the entirety of their careers and that they have nothing to lose but it felt like that was too much<br/>- the plot itself is okayish; people betray people and stuff happens to other people<br/>- i would have loved to understand a bit more of the world building and how the tests worked but little is said about it
231258916,"Evolution (The Exlian Syndrome Series, #4)",Seth Ring,,9798874692605,3,read,2026/03/08,2026/02/10,false,"Pros:<br/>- entertaining<br/>- old characters were now back and part of the main character progression returned<br/><br/>Cons:<br/>- i don’t like farming scenes, and both this and the 2nd book had a lot of it… it even gets to a point where the MC thinks “hmm, i’ll need 100 of these to level up” and i was begging for it to be entirely narrated like we almost had on book 2; exlians just aren’t very entertaining characters in battles to have so many of them<br/>- the plot keeps thickening and i don’t know if that’s a good thing; there’s so many loose pieces that it feels like this will be a 20 book series and i don’t think i’m up for it"
63106877,The Maiden,Kate Foster,,,3,read,2026/03/08,2025/03/02,false,"Pros:<br/>- it’s entertaining<br/>- i guess it’s nice to learn a bit of history, even if the story itself is very vaguely inspired on a real event<br/>- i was not away of branks so i learned something new<br/><br/>Cons:<br/>- the book dragged for way too long; i don’t know how it’s so lengthy for the amount of stuff it provides<br/>- it’s impossible not to feel bad with the victims but i couldn’t connect or feel much for them"
47212,"Storm Front (The Dresden Files, #1)",Jim Butcher,0451457811,9780451457813,4,read,2026/03/01,2026/02/16,false,Pros:<br/>- entertaining<br/>- good world-building with good explanation of stuff<br/>- ample room to explore characters on other books<br/><br/>Cons:<br/>- maybe too silly at times - it’s hard to take the danger seriously when there’s always a joke to be made<br/>- some parts of the book were not very well edited - characters are sat on a chair and the next line says that they push a chair back and seat
242252419,May We Feed the King,Rebecca Perry,1803513888,9781803513881,0,to-read,,2026/03/01,false,
37539796,"Dragon Storm (Heritage of Power, #1)",Lindsay Buroker,,,0,to-read,,2026/03/01,false,
239633794,Divergence: A Litrpg Apocalypse (Welcome to the Multiverse Book 9),Sean Oswald,,,0,to-read,,2026/03/01,false,
243483834,Exploration: A Litrpg Apocalypse (Welcome to the Multiverse Book 10),Sean Oswald,,,0,to-read,,2026/03/01,false,
57213544,The Life of Chuck,Stephen King,,9781399753425,5,read,2026/02/19,2026/02/15,false,Pros:<br/>- it’s King<br/>- it’s entertaining<br/>- it’s magical<br/><br/>Cons:<br/>- it’s short
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,1627792120,9781627792127,4,read,2026/02/14,2023/05/22,false,"4⭐️ but almost 3.5<br/><br/>Pros:<br/>- entertaining story with good world building<br/>- very character-driven <br/><br/>Cons:<br/>- the last 1/3 felt so rushed that i actually thought that this was just a 1 book thing - i wasn’t expecting there to be more with how the story was going<br/>- sometimes there’s a lot of description, some others there isn’t enough - characters ended up being doing actions out of nowhere and that didn’t appear to match their position in the scene"
